ts	host	label	gpu	exit	peak_vram_mib	train_loss	val_loss	val_acc	csv
2026-07-28 18:54:35	lizmark	l4096sb_token_L4096_seed0	1	0	33745.76416015625	0.31153028414584694	0.1331456192274345	0.9406591653823853	out/lca_cmp/l4096stageb/token/L4096/l4096sb_token_L4096_seed0.csv
2026-07-28 23:07:26	lizmark	l4096sb_b75full_L4096_seed0	0	0	24915.9052734375	0.35373726590909066	0.3479650117078563	0.8381962776184082	out/lca_cmp/l4096stageb/b75/L4096/l4096sb_b75full_L4096_seed0.csv
2026-07-29 20:38:30	lizmark	l4096sb_b75full8k_L4096_seed0	0	0	24915.9052734375	0.27897040474181994	0.8959885962249245	0.756953239440918	out/lca_cmp/l4096stageb/b75/L4096/l4096sb_b75full8k_L4096_seed0.csv
